,address,restaurant_name,restaurant_class,menu_tag,blue_ribbon_count,red_ribbon_count,catchTable_review_count,catchTable_review_point,googleMap_review_count,googleMap_review_point,review_count_sum,ratings_mean
0,서울특별시 성동구 서울숲4길 18-7 (성수동1가),플레이버타운,호프/통닭,퓨전중식,0,2,1271,4.6,0,0.0,1271,4.6
1,서울특별시 성동구 뚝섬로15길 31 (성수동2가),매튜,기타,컨템포러리,2,0,893,4.8,0,0.0,893,4.8
2,서울특별시 성동구 성수이로14길 7 (성수동2가),세스크멘슬,기타,"샤퀴테리,독일식",2,0,67,4.6,378,4.6,445,4.6
3,서울특별시 성동구 왕십리로11길 7 (성수동1가),다로베,"외국음식전문점(인도,태국등)",피자,0,2,755,4.7,0,0.0,755,4.7
4,서울특별시 성동구 아차산로7길 7 (성수동2가) 동진빌딩 1층,성수족발,한식,족발,1,0,0,0.0,218,4.9,218,4.9
5,서울특별시 성동구 연무장길 28-20 (성수동2가) 1층,클래식해례커피,기타,커피전문점,1,0,20,3.9,0,0.0,20,3.9
6,서울특별시 성동구 상원1길 22 (성수동1가) 1층 101호,문츠바베큐,기타,바비큐,1,0,2012,4.4,0,0.0,2012,4.4
7,서울특별시 성동구 상원1길 26 (성수동1가) 서울숲A타워 101호~103호,대성갈비,한식,돼지갈비,0,1,143,4.1,0,0.0,143,4.1
8,서울특별시 성동구 성수이로 97 (성수동2가) 5층,네기라이브,기타,일식오마카세,0,1,792,4.8,0,0.0,792,4.8
9,서울특별시 성동구 성수일로6길 7-1 (성수동2가),중앙감속기,기타,퓨전중식,0,1,425,4.5,0,0.0,425,4.5
10,서울특별시 성동구 연무장3길 6 (성수동2가),로우키,경양식,커피전문점,1,0,47,4.5,0,0.0,47,4.5
11,서울특별시 성동구 성수이로 65 (성수동2가) 협성빌딩 102호,성수속향연,한식,일반중식,0,1,71,4.2,218,4.9,289,4.550000000000001
12,서울특별시 성동구 상원1길 35 (성수동1가),팔레트커리,기타,인도식,1,0,1,4.5,0,0.0,1,4.5
13,서울특별시 성동구 왕십리로2길 36 (성수동1가),대엽성수,한식,평양냉면,1,0,97,4.4,218,4.9,315,4.65
14,서울특별시 성동구 연무장3길 3 (성수동2가),타르트성수,기타,타르트,1,0,0,0.0,218,4.9,218,4.9
15,서울특별시 성동구 연무장18길 16 (성수동2가) 2층,마마리펍,기타,한식주점,1,0,625,4.6,0,0.0,625,4.6
16,서울특별시 성동구 성수이로12길 15 (성수동2가) 스케치테이블,스케치테이블성수,경양식,"이탈리아식,샐러드,파스타",1,0,46,4.8,0,0.0,46,4.8
17,서울특별시 용산구 보광로59길 33 (이태원동),쟈니덤플링,기타,중국만두,0,2,0,0.0,1372,4.3,1372,4.3
18,서울특별시 용산구 한남대로21길 14 (한남동),로스옥,경양식,소고기구이,0,2,298,4.2,0,0.0,298,4.2
19,서울특별시 용산구 이태원로55가길 13 (한남동) 스카이빌,시칠리,경양식,"파스타,이탈리아식",2,0,34,4.7,0,0.0,34,4.7
20,서울특별시 용산구 이태원로 223 (한남동) 구찌가옥 6층,구찌오스테리아서울,"외국음식전문점(인도,태국등)",이탈리아식,0,2,588,4.6,0,0.0,588,4.6
21,서울특별시 용산구 이태원로55나길 6 (한남동) DOTZ 지하 1층,스시상남,일식,스시,2,0,575,4.6,0,0.0,575,4.6
22,서울특별시 용산구 신흥로26길 35 (용산동2가) 지하 1층,소울,기타,모던한식,2,0,1102,4.8,0,0.0,1102,4.8
23,서울특별시 용산구 이태원로55나길 6 (한남동),휴135,,스테이크,0,2,1337,4.6,0,0.0,1337,4.6
24,서울특별시 용산구 이태원로15길 1 (이태원동) 제일은행 2층,바토스,기타,멕시코식,0,2,17,4.6,0,0.0,17,4.6
25,서울특별시 용산구 회나무로44길 10 (이태원동),라쿠치나,까페,"이탈리아식,파스타",0,2,1033,4.6,0,0.0,1033,4.6
26,서울특별시 용산구 이태원로 228-1 (한남동),몽크스부처,"외국음식전문점(인도,태국등)",비건,1,0,1119,4.4,0,0.0,1119,4.4
27,서울특별시 용산구 녹사평대로40길 48 (이태원동) 1층,부다스벨리,경양식,태국식,0,1,870,4.6,0,0.0,870,4.6
28,서울특별시 용산구 이태원로 272 (한남동) SPC빌딩,패션5,기타,"카페,베이커리",1,0,20,4.5,0,0.0,20,4.5
29,서울특별시 용산구 녹사평대로 244-1 (이태원동),더베이커스테이블,한식,베이커리,1,0,289,4.5,0,0.0,289,4.5
30,서울특별시 용산구 이태원로 254 (한남동) 지하2층,레스토랑바위,경양식,이탈리아식,0,1,206,4.6,0,0.0,206,4.6
31,서울특별시 용산구 이태원로55가길 26-5 (한남동) 2층,빠르크,기타,한정식,0,1,455,4.3,0,0.0,455,4.3
32,서울특별시 용산구 회나무로10길 5 (이태원동),남산와이너리,경양식,"와인바,포르투갈식",1,0,254,4.7,0,0.0,254,4.7
