,restaurant_name,googleMap_review_point,googleMap_review_count,address
0,"연화주반, 홍대 연남동 맛집 & 술집ㅣYeonhwa Jooban, Hongdae restaurant & bar",5.0,25,마포구 동교동 4층
1,바다화원 본점,4.4,86,성동구 성수동1가 상원4길 6-1
2,밀포유 인사동점,4.9,53,종로구 인사동8길 13 밀포유 1층
3,스시지현,4.6,180,마포구 연남동 373-13
4,성수AGU (聖水洞 グルメ店 Seongsu-dong Restaurant),4.9,218,성동구 상원길 48-1
5,연미정 연남점,4.7,24,마포구 연남동 동교로 262-11
6,미정이네식당,4.0,186,성동구 성덕정15길 6-5
7,파르코,4.5,181,성동구 서울숲2길 44
8,쏭타이 이태원본점,4.2,324,용산구 이태원로20가길 7-2
9,성수 맛집 오프트,4.5,44,성동구 왕십리로10길 20 1F
10,안국역 맛집 신라제면 안국점ㅣSeoul Korean restaurant sinrajemyeonㅣ韓国料理 レストラン 飲食店 新羅製麺ㅣカルグクス 美食,4.8,136,종로구 계동길 19-6 1층
11,유익상스시,4.6,106,마포구 와우산로23길 18-7 KR 서울특별시 마포구 信和빌딩 1층 18 7 101호
12,야상해,4.4,330,용산구 이태원로23길 6
13,랑트,4.9,194,마포구 양화로19길 22-30
14,수라간,4.6,187,마포구 동교로38안길 3
15,라멘 반라이,4.5,73,마포구 상수동 313-3
16,카츠몬스터 연남본점,4.9,191,마포구 동교로38길 42-6 1층
17,보광동 맛집,5.0,2,용산구 보광동 우사단로4라길 7
18,우콘카레,4.1,263,성동구 성수이로10길 8
19,오레타치 카레,4.9,1245,마포구 홍익로6길 83 1층
20,홍대 맛집 토끼정 | Hongdae Restaurant Tokkijung Project | 弘大美食 兔子停 | 日本料理 定食 うさぎ亭,4.4,276,마포구 잔다리로2길 13
21,이북집찹쌀순대 성수점,4.2,81,성동구 성수2가제3동 성수이로20길 10
22,Hey George(헤이죠지),4.6,46,마포구 연남동 383-96
23,마시쏘부대찌개 성수직영점,5.0,48,성동구 연무장5가길 25 1층 116호
24,백스트리트 피자 연남점,4.9,394,마포구 연남동 258-10 4층
25,성수동맛집 태양곱창 성수점,4.9,305,성동구 성수동2가 연무장7길 8-1 1층
26,코너룸 corner room,4.8,158,성동구 상원길 64 2층
27,사루카메,4.4,494,마포구 연남로 15
28,새들러 하우스 성수점,4.3,114,성동구 성덕정11길 5-12
29,누랑즈뉘,4.5,30,용산구 녹사평대로46길 34-2
30,연남 고기집 풍년숯불갈비Pungnyeon Charcoal-Grilled Korean BBQ Restaurant ㅣ ホウネン グルメ 焼き肉 サムギョプサルㅣ 韩国美食家烤肉炭火排骨 烧烤,5.0,77,마포구 동교로 264
31,뚝섬해물탕,4.0,158,성동구 성덕정19길 3
32,카츠곤,4.9,39,성동구 아차산로 3 두앤캔하우스 101호
33,도쎄멕시칸,4.7,38,성동구 성수동1가 656-3
34,우물집 홍대,4.8,255,마포구 와우산로29마길 8
35,"무채색, 홍대 연남동 맛집 & 술집",5.0,472,마포구 연남동 연희로1길 38 4층
36,성수다락 | 성수 레스토랑 | Seongsu Restaurants | 성수 맛집 | レストラン | 聖水洞美食,4.5,834,성동구 뚝섬로9길 20 2층
37,벱,4.4,188,성동구 성수일로4가길 2
38,등마을숯불갈비,4.6,30,마포구 동교동 와우산로32길 31-4
39,써머레인,4.1,537,용산구 이태원로55가길 49
40,뚝도농원,4.2,232,성동구 아차산로 82
41,오봉집 성수점,4.6,45,서울 성동구 상원4길 11 1층
42,국숯집,4.9,16,마포구 동교로34길 21
43,다운타우너 한남점,4.4,1833,용산구 대사관로5길 12
44,우마이 당고 (umai dango),4.8,9,마포구 동교로38길 34
45,소문난 성수 감자탕,4.1,5632,성동구 연무장길 45
46,옹다래찜닭,4.5,207,마포구 양화로 122
47,꾸띠자르당,4.1,699,용산구 보광로 120
48,잠수교집 성수점,4.1,409,성동구 아차산로 137
49,잭잭(JACKJACK) 안국점,4.9,155,종로구 안국동 159번지 101호
50,시옹마오,4.6,79,성동구 연무장7길 7-1 3층
51,메종브리크,4.8,10,마포구 연남동 390-28
52,츠케루,4.5,579,마포구 와우산로23길 9
53,무겐스위치,4.5,123,마포구 동교로 242-13
54,명동왕돈까스,4.5,32,마포구 동교로27길 21
55,싱그루맛집,4.4,29,마포구 성미산로 88
56,카사블랑카 샌드위치,4.5,567,용산구 신흥로 35
57,브라이리퍼블릭 이태원,4.5,1204,용산구 이태원로14길 19
58,청록양식,4.5,90,마포구 동교동 152-11 청록양식
59,쿄 라멘,4.5,223,마포구 연남동 385-4
60,온미관 안국점,4.7,204,종로구 북촌로2길 5-4
61,아티장 깔조네버거 홍대본점,4.8,48,마포구 상수동 독막로19길 45-4
62,쟈니덤플링 본관,4.3,1372,용산구 보광로59길 33
