,address,restaurant_name,restaurant_class,menu_tag,blue_ribbon_count,red_ribbon_count,catchTable_review_count,catchTable_review_point,googleMap_review_count,googleMap_review_point,review_count_sum,ratings_mean
0,서울특별시 성동구 성수이로20길 10 (성수동2가) 대한빌딩 101호,이북집찹쌀순대,한식,"순댓국,이북음식",0,0,0,0.0,81,4.2,81,4.2
1,서울특별시 성동구 광나루로2길 23-1 (성수동2가),마리오네,기타,"피자,파스타,펍",0,0,564,4.7,0,0.0,564,4.7
2,서울특별시 성동구 왕십리로10길 10 (성수동1가),타코튜즈데이,"외국음식전문점(인도,태국등)",멕시코식,0,0,478,4.6,0,0.0,478,4.6
3,서울특별시 성동구 아차산로1길 9 (성수동1가) 지하 1층,문화공간성수,까페,"와인바,재즈바",0,0,2,5.0,235,4.4,237,4.7
4,서울특별시 성동구 왕십리로4길 28-2 (성수동1가) 1층 양복점 성수점,양복점,호프/통닭,"일반중식,양꼬치",0,0,26,4.5,0,0.0,26,4.5
5,서울특별시 성동구 왕십리로5길 9-10 (성수동1가) 1층,버섯집,한식,"소불고기,버섯전골",0,0,546,4.4,451,4.3,997,4.35
6,서울특별시 성동구 서울숲2길 19-18 (성수동1가),엘몰리노,"외국음식전문점(인도,태국등)",멕시코식,0,0,1523,4.6,0,0.0,1523,4.6
7,서울특별시 성동구 뚝섬로 366-46 (성수동1가) 1층 리브나,리브나,"외국음식전문점(인도,태국등)",다이닝바,0,0,34,4.9,0,0.0,34,4.9
8,서울특별시 성동구 왕십리로4길 26-20 (성수동1가),소바마에,한식,소바,0,0,0,0.0,74,4.3,74,4.3
9,서울특별시 성동구 서울숲길 46-1 (성수동1가),제제,한식,"모던차이니즈,딤섬",0,0,421,4.5,0,0.0,421,4.5
10,서울특별시 성동구 왕십리로 58 (성수동1가) FORHU 1층 108호,소랑호젠,호프/통닭,이탈리아식,0,0,592,4.6,0,0.0,592,4.6
11,서울특별시 성동구 서울숲4길 18-8 (성수동1가),난포,"외국음식전문점(인도,태국등)",퓨전한식,0,0,1656,4.2,0,0.0,1656,4.2
12,서울특별시 성동구 왕십리로5길 9-20 (성수동1가) 1층,핫쵸,,오코노미야키,0,0,644,4.5,0,0.0,644,4.5
13,서울특별시 성동구 성수일로8길 42 (성수동2가) 삼원빌딩,란칼국수,분식,칼국수,0,0,0,0.0,217,4.4,217,4.4
14,서울특별시 성동구 아차산로3길 9 (성수동1가),성일정육점,호프/통닭,"김치찌개,소고기구이",0,0,0,0.0,74,4.6,74,4.6
15,서울특별시 성동구 왕십리로4길 10 (성수동1가),성수아구찜,기타,아귀,0,0,0,0.0,26,4.7,26,4.7
16,서울특별시 성동구 연무장7가길 1 (성수동2가),다이닝목로,,"곱창전골,무국적술집",0,0,135,4.5,322,4.3,457,4.4
17,서울특별시 성동구 아차산로17길 11 (성수동2가) 1층,앳모스피어,경양식,"프랑스식,브런치카페",0,0,19,4.5,0,0.0,19,4.5
18,서울특별시 성동구 성수일로1길 8 (성수동1가),코너룸,경양식,와인바,0,0,699,4.7,158,4.8,857,4.75
19,서울특별시 성동구 성덕정17길 3-1 (성수동2가),성수일구,일식,"이자카야,일식",0,0,0,0.0,30,4.3,30,4.3
20,서울특별시 성동구 연무장길 110 (성수동2가) 1층 103호,바오서울,기타,"대만식중식,햄버거",0,0,167,4.1,224,4.8,391,4.449999999999999
21,서울특별시 성동구 연무장길 41-26 (성수동2가) 1층,포유성수,기타,베트남식,0,0,23,4.6,218,4.9,241,4.75
22,서울특별시 성동구 왕십리로4길 23-1 (성수동1가) 서경빌딩,홍화돈,한식,돼지고기구이,0,0,3,4.2,0,0.0,3,4.2
23,서울특별시 성동구 왕십리로 108 (성수동1가),뚝딱,,돼지고기구이,0,0,0,0.0,25,4.9,25,4.9
24,서울특별시 성동구 연무장15길 11 (성수동2가) C동 2층 202호,정든식당,한식,"국수,보쌈",0,0,0,0.0,186,4.0,186,4.0
25,서울특별시 성동구 연무장9길 8-1 (성수동2가),호감도,기타,이자카야,0,0,475,4.7,0,0.0,475,4.7
26,서울특별시 성동구 성덕정3길 8 (성수동1가),브와르,기타,와인바,0,0,413,4.9,0,0.0,413,4.9
27,서울특별시 성동구 성수이로 127 (성수동2가) ADLV 성수빌딩 202호,지금이밤,일식,이자카야,0,0,27,4.7,0,0.0,27,4.7
28,서울특별시 성동구 성수일로4길 50 (성수동2가) 1층,소파,경양식,"카페,젤라토,와인바",0,0,51,4.2,0,0.0,51,4.2
29,서울특별시 성동구 왕십리로2길 34 (성수동1가) 1층,희릿,경양식,와인바,0,0,1527,4.5,0,0.0,1527,4.5
30,서울특별시 성동구 뚝섬로13길 36 (성수동2가) 위즈엘 성수 9층,에스메로,기타,타파스바,0,0,860,4.7,0,0.0,860,4.7
31,서울특별시 성동구 서울숲2길 44-7 (성수동1가) 1층,오후,기타,덮밥,0,0,0,0.0,374,4.7,374,4.7
32,서울특별시 성동구 연무장길 9-1 (성수동2가) 2층,고우성수,한식,솥밥,0,0,30,4.7,218,4.9,248,4.800000000000001
33,서울특별시 성동구 뚝섬로17가길 55 (성수동2가),테니,기타,"카페,브런치카페",0,0,113,4.4,0,0.0,113,4.4
34,서울특별시 성동구 연무장길 39-13 (성수동2가),목탄,일식,"이자카야,야키토리",0,0,12,4.6,0,0.0,12,4.6
35,서울특별시 성동구 성수이로12길 17-1 (성수동2가),보어드앤헝그리,기타,햄버거,0,0,387,4.6,0,0.0,387,4.6
36,서울특별시 성동구 상원10길 3 (성수동1가),금일식당,기타,돼지고기구이,0,0,10,4.7,0,0.0,10,4.7
37,서울특별시 성동구 왕십리로10길 9-9 (성수동1가) 지하 1층,어린달,기타,한식주점,0,0,40,4.9,0,0.0,40,4.9
38,서울특별시 성동구 뚝섬로 341-18 (성수동1가) 1층,아후,기타,"케이크,디저트전문점",0,0,21,4.8,0,0.0,21,4.8
39,서울특별시 성동구 아차산로 6 (성수동1가) 3층 R5호,심퍼티쿠시,경양식,캐주얼다이닝,0,0,702,4.6,0,0.0,702,4.6
40,서울특별시 성동구 서울숲2길 13 (성수동1가) 2층,GTS포레스트,기타,햄버거,0,0,17,4.0,0,0.0,17,4.0
41,서울특별시 성동구 서울숲2길 8-8 (성수동1가) 2층,라프레플루트,,디저트전문점,0,0,564,4.3,0,0.0,564,4.3
42,"서울특별시 성동구 연무장길 41-19 (성수동2가) 37.5 시그니처 성수 1,2,3층",37.5시그니처성수,,브런치카페,0,0,101,4.5,0,0.0,101,4.5
43,서울특별시 성동구 서울숲2길 40-7 (성수동1가),엘더버거,한식,햄버거,0,0,16,4.4,0,0.0,16,4.4
44,서울특별시 성동구 서울숲2길 32-14 (성수동1가) 갤러리아 포레 지하1층 B117호,서우룸다이닝,한식,일반중식,0,0,341,4.8,0,0.0,341,4.8
45,서울특별시 성동구 아차산로7길 11 (성수동2가),피잇짜,호프/통닭,"피자,파스타",0,0,35,4.8,0,0.0,35,4.8
46,서울특별시 성동구 뚝섬로1길 56 (성수동1가) SM ARTIST & MUSIC CENTER,루비스,기타,"브런치카페,호주식브런치",0,0,50,4.4,0,0.0,50,4.4
47,서울특별시 성동구 서울숲4길 22-18 (성수동1가),콩카세,경양식,이탈리아식,0,0,859,4.6,0,0.0,859,4.6
