restaurant_code,address,restaurant_name,restaurant_class,menu_tag,blue_ribbon_count,red_ribbon_count,restaurant_review_count,restaurant_review_point,naver_blog_count,restaurant_size
127,"서울특별시 마포구 토정로5길 10 (합정동)",앤트러사이트,,커피전문점,0,0,0,0,0,0
128,"서울특별시 마포구 홍익로5안길 24 (서교동)",멘야산다이메,,라멘,0,0,0,0,0,0
129,"서울특별시 마포구 와우산로 72 (서교동) 2층",초마,,일반중식,0,0,0,0,0,0
130,"서울특별시 마포구 독막로15길 13-6 (상수동)",데코아발림,,디저트전문점,0,0,0,0,0,0
131,"서울특별시 마포구 와우산로 70 (서교동) 군봉빌딩",삼거리포차,,한식주점,0,0,0,0,0,0
132,"서울특별시 마포구 홍익로2길 23 (서교동)",가미우동,,일식우동,0,0,0,0,0,0
133,"서울특별시 마포구 어울마당로3길 5 (합정동)",당고집,,일본디저트,0,0,0,0,0,0
134,"서울특별시 마포구 홍익로 29 (서교동)",신원복집,,복,0,0,0,0,0,0
135,"서울특별시 마포구 와우산로 50 (상수동)",호호미욜,,카페,0,0,0,0,0,0
136,"서울특별시 마포구 성지3길 67 (합정동)",백세식당,,"곰탕,비빔밥",0,0,0,0,0,0
137,"서울특별시 마포구 와우산로3길 27 (상수동)",이리카페,,카페,0,0,0,0,0,0
138,"서울특별시 마포구 와우산로 63 (서교동) 2층",클럽에반스,,재즈바,0,0,0,0,0,0
139,"서울특별시 마포구 와우산로32길 24 (창전동)",철길왕갈비살,,"소고기구이,삼겹살",0,0,0,0,0,0
140,"서울특별시 마포구 토정로 155 (하중동)",마차회집,,생선회,0,0,0,0,0,0
141,"서울특별시 마포구 토정로 136-13 (상수동) 우성빌딩 7층",괴르츠,,양식,0,0,0,0,0,0
142,"서울특별시 영등포구 의사당대로 108 (여의도동) 아일렉스",폴앤폴리나,,베이커리,0,0,0,0,0,0
143,"서울특별시 영등포구 당산로38길 12 (당산동4가) 1층",오시게리따,,"피자,퓨전",0,0,0,0,0,0
